position.x,position.z,time,score,phase
0.4999931,-0.9999864,36.35592,0,1
0.4999933,-0.9999866,36.46157,0,1
0.4999931,-0.9999866,36.56878,0,1
0.4999932,-0.9999865,36.67739,0,1
0.4999931,-0.9999865,36.77925,0,1
0.4999932,-0.9999866,36.90252,0,1
0.4999931,-0.9999865,37.03481,0,1
0.4999931,-0.9999866,37.14867,0,1
0.4999932,-0.9999864,37.27645,0,1
0.4999931,-0.9999864,37.37677,0,1
0.499993,-0.9999867,37.4781,0,1
0.4999933,-0.9999866,37.59074,0,1
0.499993,-0.9999866,37.73808,0,1
0.4999934,-0.9999866,37.8778,0,1
0.4999931,-0.9999866,37.98763,0,1
0.4999931,-0.9999866,38.13515,0,1
0.4999932,-0.9999865,38.26517,0,1
0.4999931,-0.9999867,38.36791,0,1
0.4999932,-0.9999866,38.51298,0,1
0.4999931,-0.9999866,38.66492,0,1
0.4999932,-0.9999865,38.79758,0,1
0.4999932,-0.9999866,38.91509,0,1
0.4999931,-0.9999866,39.02286,0,1
0.4999932,-0.9999865,39.14706,0,1
0.499993,-0.9999867,39.26613,0,1
0.4999932,-0.9999866,39.37278,0,1
0.4999931,-0.9999865,39.49413,0,1
0.4999931,-0.9999867,39.64275,0,1
0.4999932,-0.9999866,39.75492,0,1
0.4999931,-0.9999866,39.86498,0,1
0.4999932,-0.9999866,39.99472,0,1
0.4999931,-0.9999868,40.11074,0,1
0.4999932,-0.9999866,40.23645,0,1
0.4999932,-0.9999866,40.35223,0,1
0.4999931,-0.9999868,40.47427,0,1
0.4999931,-0.9999866,40.58923,0,1
0.4999931,-0.9999865,40.73775,0,1
0.4999931,-0.9999867,40.83891,0,1
0.4999932,-0.9999867,40.96712,0,1
0.4999931,-0.9999867,41.07362,0,1
0.4999931,-0.9999866,41.18943,0,1
0.4999931,-0.9999866,41.32383,0,1
0.4999932,-0.9999868,41.43268,0,1
0.4999931,-0.9999866,41.53996,0,1
0.4999932,-0.9999866,41.6504,0,1
0.4999932,-0.9999867,41.75348,0,1
0.499993,-0.9999866,41.90675,0,1
0.4999931,-0.9999867,42.01966,0,1
0.4999931,-0.9999868,42.13835,0,1
0.4999932,-0.9999867,42.26108,0,1
0.4999931,-0.9999868,42.36596,0,1
0.4999932,-0.9999865,42.47102,0,1
0.4999931,-0.9999866,42.62451,0,1
0.4999931,-0.9999869,42.74242,0,1
0.4999932,-0.9999868,42.8447,0,1
0.4999931,-0.9999867,42.98604,0,1
0.4999932,-0.9999867,43.09715,0,1
0.4999931,-0.9999867,43.21344,0,1
0.4999932,-0.9999868,43.33057,0,1
0.4999932,-0.9999867,43.44818,0,1
0.499993,-0.9999868,43.55686,0,1
0.4999932,-0.9999868,43.68245,0,1
0.499993,-0.9999867,43.82189,0,1
0.4999932,-0.9999868,43.92545,0,1
0.4999932,-0.9999866,44.04715,0,1
0.4999931,-0.9999868,44.14967,0,1
0.4999931,-0.9999868,44.24974,0,1
0.4999931,-0.9999868,44.35525,0,1
0.4999931,-0.9999868,44.49286,0,1
0.4999932,-0.9999866,44.60429,0,1
0.4999931,-0.9999868,44.73721,0,1
0.4999932,-0.9999868,44.84441,0,1
0.4999931,-0.9999868,44.94549,0,1
0.4999931,-0.9999868,45.0597,0,1
0.4999932,-0.9999867,45.17218,0,1
0.4999931,-0.9999868,45.28463,0,1
0.4999931,-0.9999866,45.43578,0,1
0.4999931,-0.9999867,45.53626,0,1
0.4999931,-0.9999869,45.64834,0,1
0.4999932,-0.9999868,45.75655,0,1
0.4999929,-0.9999868,45.87135,0,1
0.4999931,-0.9999868,45.9818,0,1
0.4999932,-0.9999868,46.09756,0,1
0.4999931,-0.9999868,46.21876,0,1
0.4999931,-0.9999869,46.35451,0,1
0.4999931,-0.9999868,46.45962,0,1
0.4999931,-0.9999867,46.57188,0,1
0.4999931,-0.9999869,46.70515,0,1
0.4999931,-0.9999869,46.82583,0,1
0.4999931,-0.9999869,46.94054,0,1
0.4999932,-0.9999868,47.0406,0,1
0.4999931,-0.9999869,47.15313,0,1
0.499993,-0.9999867,47.28257,0,1
0.4999932,-0.9999869,47.38737,0,1
0.4999931,-0.9999869,47.50435,0,1
0.4999932,-0.9999867,47.61719,0,1
0.4999932,-0.999987,47.73259,0,1
0.499993,-0.9999869,47.86188,0,1
0.4999931,-0.9999869,47.96766,0,1
0.4999931,-0.9999869,48.07888,0,1
0.4999931,-0.9999866,48.19928,0,1
0.499993,-0.9999869,48.31642,0,1
0.4999932,-0.999987,48.42573,0,1
0.4999931,-0.9999868,48.5302,0,1
0.499993,-0.9999869,48.63544,0,1
0.4999931,-0.9999869,48.78407,0,1
0.4999931,-0.9999867,48.88709,0,1
0.4999931,-0.999987,49.00147,0,1
0.4999931,-0.9999869,49.11289,0,1
0.4999931,-0.999987,49.24902,0,1
0.4999931,-0.9999869,49.35961,0,1
0.4999931,-0.9999869,49.49785,0,1
0.4999932,-0.9999868,49.63962,0,1
0.4999931,-0.9999869,49.74982,0,1
0.4999931,-0.999987,49.8831,0,1
0.4999931,-0.9999868,49.98969,0,1
0.4999931,-0.9999869,50.11999,0,1
0.4999931,-0.9999871,50.25003,0,1
0.499993,-0.9999868,50.39413,0,1
0.4999933,-0.9999869,50.50352,0,1
0.499993,-0.9999871,50.61507,0,1
0.4999932,-0.9999869,50.73433,0,1
0.4999931,-0.9999869,50.84243,0,1
0.4999931,-0.9999868,50.94958,0,1
0.4999931,-0.9999871,51.05338,0,1
0.4999932,-0.9999869,51.15464,0,1
0.4999931,-0.999987,51.25842,0,1
0.4999932,-0.9999868,51.37463,0,1
0.4999931,-0.9999871,51.51746,0,1
0.4999932,-0.999987,51.62671,0,1
0.4999931,-0.999987,51.73069,0,1
0.4999931,-0.999987,51.84892,0,1
0.4999931,-0.999987,51.95818,0,1
0.4999931,-0.9999868,52.0923,0,1
0.4999931,-0.9999871,52.20179,0,1
0.4999931,-0.9999871,52.33341,0,1
0.4999931,-0.9999869,52.43752,0,1
0.4999931,-0.999987,52.55281,0,1
0.499993,-0.9999871,52.671,0,1
0.4999931,-0.9999868,52.79003,0,1
0.4999931,-0.9999871,52.89465,0,1
0.4999931,-0.9999871,53.0057,0,1
0.4999932,-0.9999869,53.12455,0,1
0.499993,-0.9999869,53.24269,0,1
0.4999931,-0.9999871,53.36338,0,1
0.4999932,-0.999987,53.46977,0,1
0.4999928,-0.999987,53.57957,0,1
0.4999931,-0.9999871,53.70186,0,1
0.4999931,-0.9999871,53.81336,0,1
0.4999931,-0.9999871,53.93423,0,1
0.4999931,-0.9999872,54.05296,0,1
0.4999931,-0.9999869,54.19642,0,1
0.4999931,-0.9999871,54.33131,0,1
0.4999931,-0.9999871,54.44004,0,1
0.4999931,-0.999987,54.58968,0,1
0.4999931,-0.9999869,54.69151,0,1
0.4999932,-0.9999871,54.80786,0,1
0.4999929,-0.9999872,54.93384,0,1
0.4999933,-0.999987,55.04119,0,1
0.499993,-0.999987,55.1732,0,1
0.4999931,-0.9999872,55.28419,0,1
0.4999931,-0.999987,55.42495,0,1
0.4999931,-0.9999871,55.54843,0,1
0.4999931,-0.9999871,55.65556,0,1
0.499993,-0.9999872,55.78827,0,1
0.4999931,-0.9999871,55.89623,0,1
0.4999931,-0.9999869,56.03377,0,1
0.499993,-0.9999872,56.1877,0,1
0.4999932,-0.9999871,56.29858,0,1
0.499993,-0.9999872,56.45243,0,1
0.4999932,-0.9999871,56.56369,0,1
0.4999931,-0.9999872,56.66682,0,1
0.4999931,-0.9999872,56.77577,0,1
0.4999931,-0.999987,56.90789,0,1
0.4999929,-0.9999871,57.05034,0,1
0.4999931,-0.9999872,57.15869,0,1
0.4999931,-0.9999871,57.26774,0,1
0.4999931,-0.9999872,57.39777,0,1
0.4999931,-0.9999872,57.53954,0,1
0.4999931,-0.9999871,57.6404,0,1
0.4999931,-0.999987,57.75821,0,1
0.499993,-0.9999872,57.87838,0,1
0.4999931,-0.9999873,57.98059,0,1
0.4999931,-0.9999871,58.0919,0,1
0.499993,-0.9999871,58.20008,0,1
0.499993,-0.9999873,58.31835,0,1
0.4999931,-0.9999872,58.44585,0,1
0.499993,-0.9999872,58.5576,0,1
0.4999931,-0.9999872,58.69422,0,1
0.4999931,-0.9999871,58.81163,0,1
0.4999929,-0.9999872,58.93496,0,1
0.4999931,-0.9999872,59.04163,0,1
0.4999932,-0.9999872,59.16263,0,1
0.499993,-0.9999873,59.30217,0,1
0.4999931,-0.9999872,59.41904,0,1
0.4999931,-0.9999872,59.53518,0,1
0.4999931,-0.9999872,59.64525,0,1
0.4999931,-0.9999872,59.75338,0,1
0.499993,-0.9999871,59.87658,0,1
0.4999932,-0.9999874,59.99648,0,1
0.499993,-0.9999874,60.10614,0,1
0.4999931,-0.9999872,60.2505,0,1
0.499993,-0.9999872,60.38065,0,1
0.4999931,-0.9999871,60.4981,0,1
0.4999929,-0.9999873,60.62057,0,1
0.4999932,-0.9999873,60.72859,0,1
0.4999929,-0.9999873,60.87088,0,1
0.4999931,-0.9999873,60.97933,0,1
0.4999931,-0.9999872,61.09146,0,1
0.4999931,-0.9999873,61.21558,0,1
0.499993,-0.9999874,61.31584,0,1
0.4999931,-0.9999871,61.42322,0,1
0.4999929,-0.9999872,61.52515,0,1
0.499993,-0.9999874,61.63959,0,1
0.4999931,-0.9999872,61.74478,0,1
0.499993,-0.9999872,61.87875,0,1
0.4999931,-0.9999871,61.98724,0,1
0.4999931,-0.9999872,62.10818,0,1
0.499993,-0.9999874,62.22619,0,1
0.4999931,-0.9999873,62.34546,0,1
0.499993,-0.9999872,62.47316,0,1
0.4999931,-0.9999872,62.58008,0,1
0.4999931,-0.9999874,62.68164,0,1
0.499993,-0.9999874,62.81982,0,1
0.4999931,-0.9999874,62.9347,0,1
0.499993,-0.9999874,63.04509,0,1
0.499993,-0.9999872,63.14848,0,1
0.4999931,-0.9999872,63.25487,0,1
0.499993,-0.9999874,63.37629,0,1
0.499993,-0.9999873,63.48057,0,1
0.4999931,-0.9999874,63.60232,0,1
0.4999931,-0.9999872,63.71625,0,1
0.4999929,-0.9999872,63.83158,0,1
0.4999931,-0.9999874,63.93872,0,1
0.4999932,-0.9999874,64.07188,0,1
0.4999928,-0.9999873,64.18157,0,1
0.4999931,-0.9999874,64.29336,0,1
0.499993,-0.9999873,64.43455,0,1
0.4999929,-0.9999874,64.56292,0,1
0.4999933,-0.9999874,64.69294,0,1
0.499993,-0.9999874,64.80504,0,1
0.4999931,-0.9999874,64.90537,0,1
0.4999931,-0.9999874,65.01154,0,1
0.4999931,-0.9999875,65.16124,0,1
0.4999931,-0.9999873,65.26643,0,1
0.499993,-0.9999874,65.39917,0,1
0.4999931,-0.9999873,65.54897,0,1
0.4999931,-0.9999873,65.64965,0,1
0.4999931,-0.9999875,65.77004,0,1
0.499993,-0.9999874,65.90328,0,1
0.4999932,-0.9999874,66.05307,0,1
0.4999929,-0.9999875,66.1647,0,1
0.499993,-0.9999874,66.26642,0,1
0.4999931,-0.9999874,66.37548,0,1
0.499993,-0.9999875,66.50474,0,1
0.4999932,-0.9999875,66.61237,0,1
0.499993,-0.9999874,66.7212,0,1
0.499993,-0.9999875,66.85316,0,1
0.4999931,-0.9999875,67.01265,0,1
0.499993,-0.9999872,67.14095,0,1
0.4999931,-0.9999875,67.26942,0,1
0.4999929,-0.9999875,67.38563,0,1
0.4999931,-0.9999874,67.50136,0,1
0.499993,-0.9999875,67.6403,0,1
0.499993,-0.9999875,67.77333,0,1
0.4999931,-0.9999874,67.88225,0,1
0.499993,-0.9999874,68.02261,0,1
0.4999931,-0.9999875,68.15062,0,1
0.499993,-0.9999875,68.26964,0,1
0.4999931,-0.9999874,68.38161,0,1
0.4999929,-0.9999875,68.52436,0,1
0.4999931,-0.9999875,68.66584,0,1
0.499993,-0.9999875,68.79331,0,1
0.4999931,-0.9999875,68.90731,0,1
0.4999929,-0.9999875,69.00924,0,1
0.499993,-0.9999873,69.13044,0,1
0.4999932,-0.9999875,69.24866,1,1
0.499993,-0.9999876,69.35712,1,1
0.499993,-0.9999875,69.50581,1,1
0.499993,-0.9999877,69.65257,1,1
