position.x,position.ztime
-1.340474,-3.302676,69.13135
-1.344531,-3.335589,69.25467
-1.351876,-3.371598,69.36507
-1.361695,-3.407161,69.47443
-1.372442,-3.442652,69.59264
-1.391346,-3.491824,69.70469
-1.399116,-3.516681,69.81924
-1.398511,-3.5343,69.95107
-1.387082,-3.539597,70.06751
-1.376115,-3.54151,70.18665
-1.368197,-3.535847,70.30375
-1.360102,-3.535764,70.4262
-1.354227,-3.535022,70.55747
-1.354634,-3.537118,70.67147
-1.358476,-3.53977,70.7844
-1.360834,-3.54649,70.90308
-1.357766,-3.555577,71.02412
-1.33316,-3.568799,71.14658
-1.307721,-3.58038,71.25668
-1.258471,-3.595019,71.37402
-1.189845,-3.609792,71.49306
-1.145259,-3.61305,71.61343
-1.107892,-3.615308,71.72615
-1.082189,-3.621904,71.85393
-1.066115,-3.631269,71.96691
-1.064278,-3.637925,72.07966
-1.056164,-3.637299,72.19359
-1.036566,-3.647377,72.30979
-1.002476,-3.649315,72.42785
-0.9448383,-3.654285,72.55228
-0.9050744,-3.649657,72.66926
-0.8780664,-3.636066,72.78411
-0.8641568,-3.622243,72.88837
-0.8585333,-3.612093,72.99672
-0.8670211,-3.600197,73.12054
-0.8815455,-3.573099,73.28191
-0.8875384,-3.563974,73.39756
-0.8824075,-3.555715,73.51775
-0.8683887,-3.545668,73.63197
-0.8449381,-3.532124,73.74567
-0.8060254,-3.504951,73.86777
-0.7817252,-3.477085,73.98845
-0.7674713,-3.460083,74.10865
-0.7664617,-3.457218,74.21876
-0.7740058,-3.454369,74.32942
-0.7707943,-3.450768,74.44572
-0.7624094,-3.45125,74.57197
-0.7302482,-3.453392,74.68723
-0.6824547,-3.459616,74.79998
-0.6157324,-3.459682,74.98143
-0.5601035,-3.457958,75.08772
-0.5297087,-3.475029,75.29322
-0.5187801,-3.487904,75.43265
-0.5029817,-3.49913,75.62043
-0.4554863,-3.517058,75.79465
-0.4094989,-3.521143,75.92646
-0.3714117,-3.524467,76.04056
-0.3544649,-3.523987,76.14782
-0.3470018,-3.531061,76.2629
-0.3611194,-3.531498,76.47733
-0.3785502,-3.51921,76.62897
-0.3875818,-3.517744,76.73634
-0.3947981,-3.519017,76.84422
-0.4032582,-3.52036,77.03423
-0.3944701,-3.530183,77.1524
-0.3780424,-3.537245,77.25735
-0.3641034,-3.541203,77.37114
-0.358341,-3.551702,77.48231
-0.3523729,-3.552509,77.66704
-0.3616235,-3.550543,77.87087
-0.3780902,-3.560877,78.08192
-0.377973,-3.566915,78.18887
-0.367042,-3.578376,78.31274
-0.3479044,-3.578322,78.46912
-0.353451,-3.57711,78.58551
-0.3752976,-3.577754,78.70885
-0.5549367,-3.548046,78.94564
-0.5943726,-3.533877,79.07697
-0.6150936,-3.526285,79.19888
-0.6293973,-3.52089,79.31853
-0.6334018,-3.518312,79.46389
-0.6279062,-3.522733,79.61082
-0.6244613,-3.526961,79.7401
-0.6200168,-3.534139,79.8631
-0.6139801,-3.539104,80.00003
-0.6069909,-3.543966,80.12696
-0.6036381,-3.548379,80.24623
-0.6179432,-3.561393,80.37047
-0.6353173,-3.581245,80.49026
-0.6525972,-3.596917,80.61298
-0.6644617,-3.611922,80.72946
-0.6635148,-3.633455,80.83727
-0.6533039,-3.656598,80.96508
-0.6220821,-3.709024,81.0864
-0.5931207,-3.750633,81.20341
-0.5605073,-3.798338,81.32491
-0.5446099,-3.824502,81.44562
-0.5475278,-3.843084,81.57554
-0.5612917,-3.881475,81.6972
-0.5839055,-3.920947,81.82188
-0.6052052,-3.952178,81.94677
-0.6231877,-3.975404,82.06293
-0.6250102,-4.003522,82.17767
-0.6126266,-4.027145,82.30711
-0.5850105,-4.0574,82.43166
-0.5485873,-4.08584,82.56154
-0.509686,-4.099637,82.66335
-0.4941599,-4.111624,82.79023
-0.4934312,-4.118793,82.93456
-0.4948979,-4.135972,83.03543
-0.5078517,-4.156148,83.17624
-0.525449,-4.164136,83.36483
-0.5267248,-4.170681,83.50626
-0.5188901,-4.176925,83.67746
-0.4755498,-4.219196,83.8134
-0.4286951,-4.230515,83.93303
-0.3716261,-4.244354,84.05516
-0.3351796,-4.249066,84.18549
-0.3196819,-4.252561,84.30878
-0.3208526,-4.24896,84.42711
-0.3400325,-4.253017,84.55174
-0.3721398,-4.24364,84.66677
-0.4125159,-4.224811,84.78807
-0.4419602,-4.211349,84.90402
-0.459104,-4.200494,85.01183
-0.4668755,-4.202353,85.13873
-0.4674281,-4.221344,85.25227
-0.4591968,-4.250269,85.36412
-0.4412518,-4.283124,85.47191
-0.4181986,-4.311409,85.59254
-0.4018817,-4.337971,85.70958
-0.4050591,-4.361882,85.82581
-0.4377891,-4.389525,85.99556
-0.4774494,-4.415091,86.12497
-0.5183224,-4.428444,86.24274
-0.5445274,-4.435502,86.36639
-0.5571051,-4.444728,86.48611
-0.5522779,-4.464024,86.61163
-0.5372477,-4.474557,86.72957
-0.5264471,-4.484086,86.84782
-0.515057,-4.495996,86.95992
-0.5028399,-4.500202,87.07309
-0.4977684,-4.500473,87.18579
-0.4971544,-4.499783,87.31071
-0.5094337,-4.502146,87.42558
-0.535455,-4.514837,87.5367
-0.5638019,-4.531548,87.64946
-0.586339,-4.541295,87.76421
-0.6065966,-4.557666,87.88217
-0.6097807,-4.572235,88.00498
-0.6070425,-4.59839,88.1255
-0.5953038,-4.625283,88.23482
-0.582188,-4.664428,88.3527
-0.5574934,-4.701151,88.46852
-0.540575,-4.726511,88.59424
-0.5254444,-4.749665,88.71951
-0.5213909,-4.763018,88.83778
-0.5208457,-4.772175,88.94885
-0.5293217,-4.787638,89.06992
-0.5451945,-4.798884,89.18706
-0.563184,-4.801557,89.3091
-0.5735229,-4.806426,89.44594
-0.5787052,-4.821692,89.55944
-0.5663579,-4.859979,89.74111
-0.5462991,-4.903072,89.84386
-0.5258493,-4.93993,89.96077
-0.4933197,-4.987957,90.08277
-0.4703839,-5.026442,90.20511
-0.4694504,-5.03367,90.31211
-0.4753756,-5.049353,90.43511
-0.4980502,-5.068904,90.66109
-0.509799,-5.069922,90.76671
-0.5311717,-5.071758,90.87495
-0.548171,-5.074823,90.99097
-0.5755082,-5.111375,91.17239
-0.5773091,-5.167154,91.36559
-0.5660283,-5.207751,91.49047
-0.5599995,-5.234536,91.61633
-0.5402319,-5.256974,91.73132
-0.5337711,-5.263089,91.86094
-0.5396543,-5.262173,91.97086
-0.5468569,-5.265429,92.09365
-0.5618226,-5.262435,92.20551
-0.5772671,-5.252499,92.32648
-0.6054999,-5.233566,92.45061
-0.6297487,-5.226673,92.5651
-0.6497406,-5.221146,92.67672
-0.6618714,-5.223781,92.79356
-0.6682974,-5.237834,92.90644
-0.6688636,-5.275884,93.03645
-0.6650127,-5.31436,93.14721
-0.6586272,-5.337574,93.25899
-0.6576751,-5.356281,93.36787
-0.6593217,-5.36738,93.47914
-0.669656,-5.368142,93.58777
-0.6852375,-5.360321,93.71063
-0.7025593,-5.335773,93.82006
-0.7367282,-5.310652,93.93172
-0.7674872,-5.27578,94.05161
-0.79094,-5.243371,94.16255
-0.8177674,-5.2178,94.28992
-0.8324956,-5.211289,94.40692
-0.8482407,-5.208753,94.52396
-0.8569493,-5.218256,94.64606
-0.862448,-5.239907,94.75581
-0.8675098,-5.272515,94.88175
-0.8638312,-5.314941,94.9959
-0.8548367,-5.346292,95.11985
-0.8548544,-5.363036,95.2316
-0.8634212,-5.375319,95.34682
-0.8758817,-5.374579,95.45901
-0.8863374,-5.372988,95.59045
-0.8893213,-5.374139,95.71198
-0.8940741,-5.389611,95.83363
-0.8958585,-5.42634,95.94711
-0.8849559,-5.494224,96.05966
-0.85386,-5.540401,96.18031
-0.8382698,-5.589256,96.29646
-0.8285774,-5.598828,96.41781
-0.8232704,-5.601982,96.52284
-0.8133531,-5.594942,96.63094
-0.8032811,-5.585415,96.75027
-0.7866468,-5.562855,96.86968
-0.7825519,-5.556314,96.98934
-0.7790669,-5.551269,97.10066
-0.7794167,-5.564001,97.22092
-0.7808751,-5.5897,97.33064
-0.774325,-5.640565,97.44567
-0.762269,-5.688087,97.57114
-0.7503623,-5.734591,97.68975
-0.745365,-5.753978,97.80641
-0.7410293,-5.760167,97.92346
-0.7403435,-5.753476,98.03164
-0.7431132,-5.741755,98.15697
-0.7423138,-5.724357,98.27846
-0.7436079,-5.714708,98.44135
-0.75067,-5.715584,98.56029
-0.7680894,-5.734808,98.66874
-0.788435,-5.761332,98.78695
-0.8114601,-5.808914,98.92104
-0.8290058,-5.853471,99.04187
-0.8348547,-5.890614,99.15006
-0.8359572,-5.901834,99.26563
-0.837354,-5.89787,99.3716
-0.8412787,-5.895474,99.48999
-0.8437214,-5.876576,99.61484
-0.8397312,-5.871087,99.72964
-0.8414471,-5.87144,99.88817
-0.8563362,-5.885904,100.003
-0.8756872,-5.915888,100.1121
-0.8965837,-5.952817,100.2335
-0.9199251,-5.983676,100.3481
-0.932994,-5.992348,100.4665
-0.9428449,-5.986504,100.5796
-0.9518484,-5.968827,100.6952
-0.9591095,-5.947916,100.8118
-0.9626935,-5.906871,100.9424
-0.9613647,-5.889271,101.0544
-0.9604431,-5.870251,101.173
-0.9605833,-5.866095,101.2922
-0.9632019,-5.87348,101.4087
-0.9669076,-5.888299,101.5198
-0.9784406,-5.925351,101.6393
-0.9934459,-5.977364,101.7612
-1.006002,-6.023776,101.8771
-1.013163,-6.07048,101.9938
-1.019698,-6.106497,102.1056
-1.014311,-6.122839,102.2286
-1.009313,-6.134316,102.3438
-1.010056,-6.12664,102.5139
-1.010266,-6.117361,102.6285
-1.005364,-6.103014,102.7408
-1.001399,-6.090918,102.8553
-0.9985569,-6.079649,102.9687
-0.9953226,-6.066582,103.0901
-0.9875894,-6.053094,103.1984
-0.9794964,-6.044431,103.3221
-0.9694872,-6.046352,103.4384
-0.9486296,-6.049613,103.5554
-0.9391017,-6.052569,103.6839
-0.9458115,-6.037268,103.7971
-0.9454452,-5.977848,103.9491
-0.9344904,-5.899964,104.0663
-0.9183318,-5.813149,104.187
-0.9133795,-5.757542,104.3168
-0.9157292,-5.729181,104.4663
-0.9178929,-5.716045,104.5858
-0.9194975,-5.716735,104.6949
-0.9292405,-5.729322,104.8494
-0.9352002,-5.732464,104.9559
-0.9492474,-5.724866,105.0643
-0.9573397,-5.69693,105.1812
-0.9700894,-5.655698,105.2908
-0.9778187,-5.648216,105.3983
-1.008717,-5.652723,105.5929
-1.063659,-5.685185,105.7355
-1.104179,-5.725481,105.9171
-1.132193,-5.735192,106.1068
-1.151688,-5.728222,106.2112
-1.172637,-5.725047,106.3262
-1.185055,-5.714092,106.4352
-1.201637,-5.69793,106.5439
-1.216565,-5.690625,106.6708
-1.225264,-5.696631,106.8081
-1.233113,-5.717134,106.9233
-1.238752,-5.763341,107.036
-1.228825,-5.812272,107.1578
-1.22156,-5.876184,107.2733
-1.211002,-5.917229,107.3945
-1.205586,-5.944748,107.5099
-1.207821,-5.95219,107.6284
-1.207812,-5.948986,107.7462
-1.205507,-5.946635,107.8968
-1.204422,-5.931946,108.0244
-1.206377,-5.924083,108.1387
-1.207314,-5.909173,108.2512
-1.212719,-5.896199,108.3622
-1.217905,-5.887742,108.4749
-1.226305,-5.883159,108.5864
-1.236656,-5.884591,108.7146
-1.251626,-5.900323,108.8352
-1.283773,-5.916794,108.9492
-1.295824,-5.956445,109.0554
-1.295528,-5.975718,109.1709
-1.29823,-5.985339,109.292
-1.302402,-5.985366,109.4097
-1.305349,-5.977532,109.5225
-1.311708,-5.954716,109.6324
-1.317924,-5.934327,109.7472
-1.332761,-5.88638,109.8655
-1.337598,-5.855371,109.9903
-1.343842,-5.825112,110.1021
-1.35388,-5.797964,110.2119
-1.36244,-5.787243,110.3317
-1.379994,-5.780566,110.4486
-1.398057,-5.786755,110.6018
-1.417097,-5.801586,110.7223
-1.435646,-5.82361,110.8281
-1.456795,-5.849733,110.939
-1.468515,-5.874349,111.0521
-1.483462,-5.899148,111.1604
-1.492937,-5.907818,111.2779
-1.497426,-5.914353,111.3967
-1.506325,-5.907966,111.5086
-1.516287,-5.892215,111.6202
-1.529553,-5.871335,111.7297
-1.54049,-5.845133,111.8363
-1.547699,-5.819442,111.953
-1.55992,-5.782965,112.0699
-1.564871,-5.760339,112.1816
-1.57017,-5.750903,112.2964
-1.585805,-5.745058,112.4536
-1.602529,-5.753843,112.5778
-1.620479,-5.771429,112.6937
-1.642424,-5.790843,112.8094
-1.663659,-5.826534,112.9318
-1.67137,-5.853281,113.0548
-1.671219,-5.872121,113.1667
-1.669051,-5.883289,113.2784
-1.673291,-5.891478,113.4038
-1.672436,-5.894861,113.5269
-1.67002,-5.8859,113.6924
-1.668533,-5.872525,113.8075
-1.675131,-5.84521,113.9214
-1.679707,-5.815835,114.031
-1.689301,-5.780141,114.1951
-1.694691,-5.754297,114.3058
-1.697467,-5.739194,114.4282
-1.701844,-5.735261,114.5436
-1.711491,-5.738573,114.6556
-1.729702,-5.750517,114.7846
-1.74542,-5.769327,114.9054
-1.761155,-5.788203,115.0262
-1.781337,-5.822801,115.1414
-1.799404,-5.856639,115.267
-1.807566,-5.874342,115.3873
-1.811998,-5.883239,115.5167
-1.812839,-5.880196,115.6436
-1.81154,-5.86859,115.7629
-1.810253,-5.849192,115.8827
-1.796602,-5.813786,116.0088
-1.787954,-5.777101,116.1276
-1.778354,-5.737471,116.2505
-1.7764,-5.724225,116.3645
-1.781468,-5.708838,116.4881
-1.790493,-5.706831,116.6039
-1.802596,-5.711487,116.7171
-1.824604,-5.722483,116.8384
-1.846512,-5.730006,116.9554
-1.86276,-5.739732,117.0678
-1.878033,-5.747909,117.1816
-1.886003,-5.748663,117.2875
-1.893807,-5.741401,117.4095
-1.895874,-5.734016,117.5247
-1.895757,-5.716558,117.6286
-1.891385,-5.699035,117.7347
-1.88235,-5.658481,117.8413
-1.861046,-5.608248,118.0053
-1.842461,-5.578938,118.1137
-1.826841,-5.55376,118.233
-1.820847,-5.544993,118.3458
-1.816104,-5.538756,118.4581
-1.820223,-5.546585,118.5869
-1.819208,-5.554532,118.7105
-1.824592,-5.56684,118.8256
-1.826988,-5.56639,118.9329
-1.82836,-5.56272,119.0511
-1.821033,-5.542212,119.1824
-1.809053,-5.508637,119.2977
-1.796766,-5.471213,119.4835
-1.786105,-5.446775,119.6279
-1.777807,-5.413427,119.7819
-1.776378,-5.406316,119.9016
-1.775102,-5.403614,120.0119
-1.779122,-5.405944,120.1257
-1.780764,-5.405131,120.2335
-1.788733,-5.412242,120.3405
-1.797707,-5.419428,120.4608
-1.823797,-5.440313,120.5735
-1.852585,-5.46501,120.6769
-1.87864,-5.48416,120.8524
-1.898763,-5.50293,120.9641
-1.916077,-5.512903,121.0716
-1.924406,-5.507412,121.2678
-1.924144,-5.503433,121.3745
-1.911425,-5.489395,121.4873
-1.891306,-5.473184,121.5953
-1.846871,-5.434475,121.7061
-1.760364,-5.360655,121.9071
-1.70718,-5.327248,122.0271
-1.68408,-5.319979,122.141
-1.672887,-5.322639,122.2534
-1.663152,-5.33391,122.364
-1.656909,-5.336633,122.4885
-1.659526,-5.342287,122.6054
-1.664083,-5.345357,122.7274
-1.662065,-5.356532,122.8413
-1.653306,-5.361721,122.9616
-1.648843,-5.364857,123.0895
-1.640357,-5.369252,123.211
-1.637916,-5.369507,123.32
-1.637456,-5.365046,123.4309
-1.629297,-5.353854,123.5437
-1.629632,-5.338432,123.6524
-1.62743,-5.295448,123.7777
-1.63141,-5.251002,123.8917
-1.638543,-5.217103,124.0008
-1.642851,-5.190567,124.1152
-1.641818,-5.165637,124.2311
-1.644219,-5.157429,124.3482
-1.648852,-5.161437,124.4679
-1.660932,-5.177863,124.5953
-1.672333,-5.199312,124.7117
-1.683069,-5.230493,124.8272
-1.68421,-5.251501,124.9405
-1.688299,-5.260123,125.0603
-1.695321,-5.251297,125.1886
-1.712981,-5.239925,125.3055
-1.724567,-5.236313,125.4122
-1.731932,-5.249211,125.5307
-1.750912,-5.258876,125.6441
-1.776224,-5.293405,125.7598
-1.80611,-5.361146,125.8882
-1.838185,-5.480639,126.0111
-1.853169,-5.537794,126.126
-1.864336,-5.56975,126.2386
-1.869068,-5.583112,126.3553
-1.88199,-5.587072,126.4672
-1.888922,-5.564906,126.5892
-1.894534,-5.54494,126.7072
-1.909928,-5.52973,126.831
-1.926636,-5.522941,126.9334
-1.967467,-5.518769,127.0484
-2.007979,-5.52052,127.1618
-2.050927,-5.5211,127.2877
-2.081937,-5.517244,127.3954
-2.102291,-5.504793,127.5156
-2.113903,-5.486784,127.6376
-2.127439,-5.446219,127.7504
-2.141003,-5.391634,127.8621
-2.147598,-5.352724,127.9985
-2.150099,-5.321138,128.1076
-2.160575,-5.294181,128.2301
-2.176021,-5.297777,128.3424
-2.183892,-5.307967,128.4576
-2.194246,-5.326471,128.573
