position.x,position.z,time,score
-0.9017274,2.201411,52.44159,75
-0.7721152,2.294089,52.58888,75
-0.6800064,2.354132,52.73227,75
-0.6548305,2.423351,52.87817,75
-0.6458768,2.490049,53.02087,75
-0.6356794,2.538445,53.17602,75
-0.6074103,2.615801,53.33249,75
-0.5948074,2.652322,53.47663,75
-0.589587,2.76154,53.61522,75
-0.6435108,2.813434,53.80392,75
-0.7088902,2.830899,53.99197,75
-0.7706519,2.84196,54.13691,75
-0.8836644,2.879551,54.3323,75
-0.9596822,2.913673,54.48127,75
-1.079856,2.984991,54.617,75
-1.168336,3.011472,54.87148,75
-1.199665,3.017357,55.01453,75
-1.283255,3.046776,55.20564,76
-1.334576,3.087789,55.38441,76
-1.337158,3.088829,55.529,76
-1.323154,3.08596,55.64775,76
-1.290531,3.078187,55.79817,76
-1.215675,3.062203,56.01161,76
-1.210443,3.057983,56.1442,76
-1.209307,3.053462,56.27246,76
-1.23236,3.0467,56.46884,76
-1.271294,3.027052,56.61755,76
-1.28852,3.00367,56.81697,76
-1.260434,2.998065,56.94561,76
-1.159766,2.965764,57.08211,76
-0.9434556,2.915843,57.28163,76
-0.8149877,2.866572,57.42482,76
-0.6983606,2.735412,57.61395,76
-0.6088483,2.585651,57.75555,76
-0.5583873,2.456785,57.87674,76
-0.5281361,2.37425,58.00847,76
-0.4301154,2.193941,58.13675,76
-0.4334042,2.111462,58.28984,76
-0.4763171,2.002779,58.4842,76
-0.5059244,1.952501,58.67266,76
-0.5048038,1.932141,58.82125,76
-0.5690418,1.95958,58.93729,76
-0.582035,2.049696,59.08496,76
-0.6002136,2.083132,59.23991,76
-0.665215,2.103863,59.4049,76
-0.7846214,2.095248,59.56449,76
-0.8918374,2.049142,59.72419,76
-0.9913212,1.98142,59.87793,76
-1.061621,1.905503,60.03628,76
-1.149288,1.864511,60.18908,76
-1.277123,1.871366,60.34425,76
-1.372307,1.856447,60.50395,76
-1.449076,1.830043,60.65615,76
-1.499365,1.799909,60.80918,76
-1.54249,1.789378,60.96917,76
-1.557123,1.841835,61.12158,76
-1.597176,1.919935,61.28832,76
-1.601355,1.98568,61.4423,76
-1.561817,2.029217,61.60579,76
-1.52834,2.05269,61.75959,76
-1.513446,2.080487,61.91426,76
-1.513501,2.106255,62.06864,76
-1.527404,2.17037,62.24382,76
-1.57974,2.203887,62.41418,76
-1.617708,2.228495,62.56623,76
-1.650882,2.243026,62.71927,76
-1.643434,2.25726,62.87086,76
-1.608942,2.272845,63.02753,76
-1.577716,2.267557,63.18694,76
-1.590551,2.272635,63.34008,76
-1.623379,2.272574,63.49076,76
-1.702165,2.263368,63.6392,76
-1.805819,2.253099,63.79486,76
-1.890157,2.202288,63.9512,76
-1.954604,2.085931,64.11568,76
-1.997871,1.994701,64.26946,77
-2.015759,1.942272,64.41907,77
-2.091221,1.794092,64.57001,78
-2.160165,1.738136,64.7149,78
-2.202972,1.71469,64.85826,79
-2.259484,1.735684,65.00897,79
-2.349796,1.769171,65.17889,80
-2.374733,1.770204,65.33361,80
-2.364794,1.766663,65.4863,81
-2.358057,1.750994,65.62919,81
-2.294661,1.729592,65.78061,82
-2.244217,1.709989,65.93613,82
-2.185346,1.688504,66.09557,83
-2.128502,1.718979,66.24538,83
-2.074934,1.762156,66.3935,83
-2.013751,1.841833,66.54124,83
-1.976178,1.912639,66.69662,83
-1.933633,1.993863,66.84282,83
-1.888521,2.028669,66.98914,83
-1.827573,2.071774,67.14726,83
-1.803664,2.083651,67.30567,83
-1.848876,2.089056,67.48983,83
-1.947936,2.088616,67.66826,83
-2.037481,2.078431,67.80661,83
-2.103656,2.047407,67.95239,83
-2.184551,1.992615,68.10203,83
-2.27505,1.928709,68.24559,83
-2.324747,1.913117,68.38068,83
-2.36888,1.905522,68.52081,83
-2.407045,1.954477,68.67803,84
-2.422944,1.997355,68.81477,85
-2.48043,2.13876,68.95483,85
-2.539513,2.239771,69.1637,86
-2.560659,2.264494,69.34768,86
-2.629334,2.316366,69.4806,87
-2.613605,2.350255,69.61427,87
-2.574667,2.437312,69.74861,87
-2.567188,2.529566,69.93484,88
-2.563883,2.558792,70.08063,88
-2.589555,2.578568,70.21333,89
-2.625797,2.606929,70.35764,89
-2.724792,2.605281,70.55167,90
-2.837169,2.587206,70.68479,90
-2.909334,2.546157,70.80519,90
-2.941223,2.461618,70.9515,91
-2.988302,2.383191,71.11282,92
-3.014344,2.330314,71.26166,92
-3.062163,2.214359,71.41455,93
-3.110165,2.136336,71.56705,93
-3.20332,2.003448,71.71998,93
-3.217452,1.982752,71.87021,94
-3.24129,1.975111,72.0191,94
-3.298392,1.977927,72.18061,95
-3.295164,1.970921,72.3439,95
-3.304742,1.969564,72.49842,95
-3.341944,2.016207,72.65026,95
-3.365082,2.086849,72.80311,95
-3.408545,2.182598,72.95383,95
-3.416754,2.21468,73.10645,95
-3.402761,2.248652,73.27002,95
-3.328058,2.233656,73.42269,95
-3.267809,2.195878,73.57015,95
-3.193183,2.133271,73.71779,95
-3.150554,2.105555,73.86435,95
-3.119202,2.074255,74.01007,95
-3.11147,2.034462,74.15774,96
-3.087565,1.970766,74.30879,96
-3.082058,1.959268,74.45303,97
-3.029396,1.97243,74.61296,97
-2.925156,1.993113,74.76097,98
-2.852921,2.025494,74.89938,98
-2.834266,2.031529,75.05538,99
-2.815491,2.029594,75.2095,99
-2.796412,2.014124,75.36973,99
-2.772129,2.043286,75.52669,100
-2.735884,2.13404,75.67265,100
-2.722544,2.148028,75.81858,100
-2.715135,2.149806,75.96409,100
-2.709231,2.131942,76.11539,101
-2.705229,2.130396,76.26723,101
-2.698349,2.135507,76.43826,101
-2.704046,2.162336,76.60497,101
-2.720684,2.230523,76.75716,101
-2.741039,2.320479,76.9041,101
-2.759148,2.324224,77.04929,101
-2.780456,2.324518,77.20185,101
-2.796196,2.331099,77.35226,101
-2.844096,2.411118,77.52877,101
-2.898529,2.542043,77.6795,101
-2.93658,2.611601,77.81957,101
-2.940472,2.652524,77.96218,102
-2.935514,2.72302,78.10909,102
-2.884906,2.812455,78.25365,102
-2.872874,2.839881,78.40833,103
-2.895068,2.900424,78.55608,104
-2.933172,2.989316,78.70841,104
-2.981514,3.039664,78.85422,104
-3.021339,3.037461,79.0004,104
-3.091321,3.059403,79.15753,104
-3.148705,3.064371,79.30994,104
-3.221958,3.08412,79.45361,104
-3.280783,3.089781,79.59889,104
-3.321338,3.094221,79.74052,104
-3.340821,3.106897,79.88519,104
-3.336794,3.132695,80.03876,104
-3.343708,3.18228,80.21085,104
-3.367728,3.231439,80.36739,104
-3.387357,3.258957,80.52275,104
-3.45098,3.263697,80.67804,105
-3.543757,3.271234,80.82079,105
-3.623209,3.295695,80.97224,106
-3.646791,3.318027,81.13631,106
-3.674094,3.375642,81.28903,106
-3.687253,3.375812,81.42619,106
-3.734084,3.351344,81.57896,106
-3.758297,3.328638,81.71917,106
-3.761162,3.315138,81.86456,106
-3.735154,3.314863,82.0133,106
-3.661108,3.327498,82.1619,106
-3.586742,3.355689,82.30952,106
-3.572135,3.353288,82.44971,106
-3.567447,3.308344,82.58465,106
-3.553743,3.255728,82.73077,106
-3.533614,3.213434,82.88158,106
-3.470683,3.179671,83.03779,106
-3.375026,3.183302,83.18726,106
-3.334166,3.191835,83.32484,106
-3.320845,3.218344,83.47009,106
-3.323406,3.260727,83.61056,106
-3.329459,3.293053,83.75234,106
-3.338223,3.296741,83.90828,106
-3.354895,3.3237,84.05109,106
-3.423448,3.322578,84.20928,106
-3.544944,3.350571,84.35883,106
-3.637834,3.373147,84.49574,106
-3.79304,3.392153,84.63165,106
-3.897296,3.36519,84.77943,106
-4.00572,3.342623,84.92233,106
-4.099567,3.29386,85.05824,106
-4.164094,3.243095,85.19659,106
-4.2495,3.196676,85.35162,106
